Tick PD1 PD2 PD3
0050 199 199 199
0051 199 198 198
0052 199 198 199
0053 199 198 199
0054 199 198 199
0055 199 198 199
0056 199 198 199
0057 199 198 199
0058 199 198 199
0059 199 198 198
0060 199 198 199
0061 199 198 199
0062 199 198 198
0063 199 198 199
0064 199 198 199
0065 199 198 199
0066 199 198 199
0067 199 198 198
0068 199 198 199
0069 199 198 199
0070 199 198 199
0071 199 198 199
0072 199 198 199
0073 199 198 198
0074 199 198 199
0075 199 198 198
0076 199 198 199
0077 199 198 199
0078 199 198 199
0079 199 198 199
0080 199 199 199
0081 199 198 199
0082 199 198 199
0083 199 198 198
0084 199 198 198
0085 199 198 198
0086 199 198 199
0087 199 198 199
0088 199 198 198
0089 199 198 199
0090 199 199 199
0091 199 199 199
0092 199 198 199
0093 199 198 198
0094 199 199 199
0095 199 199 199
0096 199 199 199
0097 199 198 198
0098 199 198 199
0099 199 198 199
0100 199 198 198
0101 199 198 198
0102 199 198 199
0103 199 198 198
0104 199 198 199
0105 197 198 199
0106 188 198 199
0107 176 198 199
0108 163 198 199
0109 149 198 198
0110 134 198 199
0111 118 198 199
0112 103 198 199
0113 090 198 199
0114 077 198 199
0115 066 198 199
0116 057 198 199
0117 049 198 199
0118 042 198 199
0119 037 198 199
0120 034 198 199
0121 031 198 198
0122 029 198 199
0123 028 198 199
0124 027 198 199
0125 026 198 199
0126 025 198 199
0127 024 198 198
0128 024 198 199
0129 023 197 198
0130 023 198 199
0131 023 198 198
0132 022 198 199
0133 022 198 199
0134 022 198 199
0135 022 198 199
0136 022 198 199
0137 022 198 199
0138 021 198 199
0139 021 198 199
0140 021 198 199
0141 021 198 199
0142 021 198 199
0143 021 198 199
0144 021 198 199
0145 021 198 199
0146 021 198 199
0147 021 198 198
0148 021 198 199
0149 021 198 199
0150 020 198 199
0151 020 198 199
0152 020 198 199
0153 020 198 199
0154 020 198 199
0155 020 198 199
0156 020 198 199
0157 020 198 199
0158 020 198 199
0159 020 198 199
0160 020 198 199
0161 020 198 199
0162 020 198 199
0163 019 198 199
0164 019 198 199
0165 019 198 199
