Tick PD1 PD2 PD3
0050 045 185 185
0051 045 185 185
0052 046 185 185
0053 046 185 185
0054 046 185 185
0055 047 185 185
0056 047 185 185
0057 047 185 185
0058 048 185 185
0059 048 185 185
0060 049 185 185
0061 049 185 185
0062 049 185 185
0063 049 185 185
0064 049 185 185
0065 050 185 185
0066 050 185 185
0067 051 185 185
0068 052 185 185
0069 053 185 185
0070 055 185 185
0071 055 185 185
0072 057 185 185
0073 057 185 185
0074 058 185 185
0075 059 185 185
0076 060 185 185
0077 060 185 185
0078 061 185 185
0079 061 185 185
0080 062 185 185
0081 062 185 185
0082 063 185 185
0083 063 185 185
0084 063 185 185
0085 063 185 185
0086 063 185 185
0087 064 185 185
0088 064 185 185
0089 064 185 185
0090 064 185 185
0091 064 185 185
0092 064 185 185
0093 065 185 185
0094 064 185 185
0095 065 185 185
0096 065 185 185
0097 065 185 185
0098 065 185 185
0099 065 185 185
0100 065 185 185
0101 065 185 185
0102 065 185 185
0103 065 185 185
0104 065 185 185
0105 065 185 185
0106 065 185 185
0107 065 185 185
0108 065 185 185
0109 065 185 185
0110 065 185 185
0111 065 185 185
0112 065 185 185
0113 065 185 185
0114 065 185 185
0115 065 185 185
0116 065 185 185
0117 065 185 185
0118 065 185 185
0119 065 185 185
0120 065 185 185
0121 065 185 185
0122 065 185 185
0123 065 185 185
0124 065 185 185
0125 065 185 185
0126 065 185 185
0127 065 185 185
0128 065 185 185
0129 065 185 185
0130 065 185 185
0131 065 185 185
0132 065 185 185
0133 065 185 185
0134 065 185 185
0135 065 185 185
0136 065 185 185
0137 065 185 185
0138 065 185 185
0139 065 185 185
0140 065 185 185
0141 065 185 185
0142 065 185 185
0143 065 185 185
0144 065 185 185
0145 065 185 185
0146 065 185 185
0147 065 185 185
0148 065 185 185
0149 065 185 185
0150 065 185 185
0151 065 185 185
0152 065 185 185
0153 065 185 185
0154 065 185 185
0155 065 185 185
0156 065 185 185
0157 065 185 185
0158 065 185 185
0159 065 185 185
0160 065 185 185
0161 065 185 185
0162 065 185 185
0163 065 185 185
0164 065 185 185
0165 065 185 185
0166 065 185 185
0167 065 185 185
0168 065 185 185
0169 065 185 185
0170 065 185 185
0171 065 185 185
0172 065 185 185
0173 065 185 185
0174 065 185 185
0175 065 185 185
0176 065 185 185
0177 065 185 185
0178 065 185 185
0179 065 185 185
0180 065 185 185
0181 065 185 185
0182 065 185 185
0183 065 185 185
0184 064 185 185
0185 065 185 185
0186 064 185 185
0187 064 185 185
0188 064 185 185
0189 064 185 185
0190 064 185 185
0191 063 185 185
0192 063 185 185
0193 063 185 185
0194 062 185 185
0195 062 185 185
0196 062 185 185
0197 062 185 185
0198 061 185 185
0199 061 185 185
0200 060 185 185
0201 060 185 185
0202 059 185 185
0203 058 185 185
0204 057 185 185
0205 055 185 185
0206 054 185 185
0207 052 185 185
0208 051 185 185
0209 049 185 185
0210 047 185 185
0211 046 185 185
0212 044 185 185
0213 042 185 185
0214 040 185 185
0215 038 185 185
0216 036 185 185
0217 034 185 185
0218 032 185 185
0219 030 185 185
0220 029 185 185
0221 027 185 185
0222 026 185 185
0223 025 185 185
0224 023 185 185
0225 022 185 185
0226 021 185 185
0227 020 185 185
0228 019 185 185
0229 019 185 185
0230 018 185 185
0231 017 185 185
0232 017 185 185
0233 016 185 185
0234 016 185 185
0235 015 185 185
0236 015 185 185
0237 015 185 185
0238 014 185 185
0239 014 185 185
0240 014 185 185
0241 013 185 185
0242 013 185 185
0243 013 185 185
0244 013 185 185
0245 013 185 185
0246 013 185 185
0247 012 185 185
0248 012 185 185
0249 012 185 185
0250 012 185 185
0251 012 185 185
0252 012 185 185
0253 012 185 185
0254 012 185 185
0255 012 185 185
0256 012 185 185
0257 011 185 185
0258 011 185 185
0259 011 185 185
0260 011 185 185
0261 011 185 185
0262 011 185 185
0263 011 185 185
0264 011 185 185
0265 011 185 185
0266 011 185 185
0267 011 185 185
0268 011 185 185
0269 011 185 185
0270 011 185 185
0271 011 185 185
0272 011 185 185
0273 011 185 185
0274 011 185 185
0275 011 185 185
0276 011 185 185
0277 011 185 185
0278 011 185 185
0279 011 185 185
0280 011 185 185
0281 010 184 185
0282 010 185 185
0283 011 185 185
0284 010 185 185
0285 010 185 185
0286 010 185 185
0287 010 185 185
0288 010 185 185
0289 010 185 185
0290 010 185 185
0291 010 185 185
0292 011 185 185
0293 011 185 185
0294 010 185 185
0295 010 185 185
0296 010 185 185
0297 011 185 185
0298 010 185 185
0299 010 185 185
0300 011 185 185
0301 011 185 185
0302 010 185 185
0303 010 185 185
0304 010 185 185
0305 010 185 185
0306 010 185 185
0307 010 185 185
0308 010 185 185
0309 010 185 185
0310 010 185 185
0311 010 185 185
0312 010 185 185
0313 010 185 185
0314 010 185 185
0315 010 185 185
0316 010 185 185
0317 010 185 185
0318 010 185 185
0319 010 185 185
0320 010 185 185
0321 011 185 185
0322 011 185 185
0323 011 185 185
0324 011 185 185
0325 011 185 185
0326 011 185 185
0327 011 185 185
0328 011 185 185
0329 011 185 185
0330 011 185 185
0331 011 185 185
0332 011 185 185
0333 011 185 185
0334 011 185 185
0335 011 185 185
0336 011 185 185
0337 011 185 185
0338 011 185 185
0339 011 185 185
0340 011 185 185
0341 011 185 185
0342 011 185 185
0343 011 185 185
0344 011 185 185
0345 011 185 185
0346 011 185 185
0347 011 185 185
0348 011 185 185
0349 012 185 185
0350 012 185 185
0351 012 185 185
0352 012 185 185
0353 012 185 185
0354 012 185 185
0355 012 185 185
0356 012 185 185
0357 012 185 185
0358 012 185 185
0359 012 185 185
0360 012 185 185
0361 013 185 185
0362 013 185 185
0363 013 185 185
0364 013 185 185
0365 013 185 185
0366 013 185 185
0367 014 185 185
0368 014 185 185
0369 015 185 185
0370 015 185 185
0371 016 185 185
0372 017 185 185
0373 018 185 185
0374 019 185 185
0375 020 185 185
0376 021 185 185
0377 022 185 185
0378 024 185 185
0379 026 185 185
0380 028 185 185
0381 030 185 185
0382 032 185 185
0383 034 185 185
0384 037 185 185
0385 039 185 185
0386 042 185 185
0387 045 185 185
0388 047 185 185
0389 050 185 185
0390 053 185 185
0391 056 185 185
0392 059 185 185
0393 062 184 185
0394 064 185 185
0395 067 185 185
0396 070 185 185
0397 073 185 185
0398 077 185 185
0399 081 185 185
0400 084 185 185
0401 089 185 185
0402 092 185 185
0403 096 185 185
0404 100 185 185
0405 102 185 185
0406 105 185 185
0407 107 185 185
0408 109 185 185
0409 110 185 185
0410 111 185 185
0411 112 185 185
0412 113 185 185
0413 114 185 185
0414 115 185 185
0415 115 185 185
0416 116 185 185
0417 116 185 185
0418 116 185 185
0419 117 185 185
0420 117 185 185
0421 117 185 185
0422 117 185 185
0423 118 185 185
0424 118 185 185
0425 118 185 185
0426 118 185 185
0427 118 185 185
0428 118 185 185
0429 118 185 185
0430 118 185 185
0431 118 185 185
0432 118 185 185
0433 118 185 185
0434 118 185 185
0435 118 185 185
0436 118 185 185
0437 118 185 185
0438 118 185 185
0439 118 185 185
0440 118 185 185
0441 118 185 185
0442 118 185 185
0443 118 185 185
0444 119 185 185
0445 118 185 185
0446 119 185 185
0447 119 185 185
0448 119 185 185
0449 119 185 185
0450 119 185 185
0451 119 185 185
0452 118 185 185
0453 119 185 185
0454 119 185 185
0455 119 185 185
0456 119 185 185
0457 119 185 185
0458 119 185 185
0459 119 185 185
0460 119 185 185
0461 119 185 185
0462 119 185 185
0463 119 185 185
0464 119 185 185
0465 119 185 185
0466 119 185 185
0467 119 185 185
0468 119 185 185
0469 119 185 185
0470 119 185 185
0471 119 185 185
0472 119 185 185
0473 119 185 185
0474 119 185 185
0475 119 185 185
0476 119 185 185
0477 119 185 185
0478 119 185 185
0479 119 185 185
0480 119 185 185
0481 119 185 185
0482 119 185 185
0483 119 185 185
0484 119 185 185
0485 119 185 185
0486 119 185 185
0487 119 185 185
0488 119 185 185
0489 119 185 185
0490 119 185 185
0491 119 185 185
0492 119 185 185
0493 119 185 185
0494 119 185 185
0495 119 185 185
0496 119 185 185
0497 119 185 185
0498 119 185 185
